id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
42;scraping restaurants;requests;1566989599.267114;-1.5558359622955322;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or420-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or420-Mother-Copenhagen_Zealand.html;1295227;200;True;
43;scraping restaurants;requests;1566989602.335568;-1.6733779907226562;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or430-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or430-Mother-Copenhagen_Zealand.html;1294905;200;True;
44;scraping restaurants;requests;1566989605.5181608;-2.0677621364593506;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or440-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or440-Mother-Copenhagen_Zealand.html;1291599;200;True;
45;scraping restaurants;requests;1566989609.092479;-1.4651570320129395;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or450-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or450-Mother-Copenhagen_Zealand.html;1295752;200;True;
46;scraping restaurants;requests;1566989612.067661;-1.7673428058624268;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or460-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or460-Mother-Copenhagen_Zealand.html;1292302;200;True;
47;scraping restaurants;requests;1566989615.342665;-1.4659361839294434;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or470-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or470-Mother-Copenhagen_Zealand.html;1295309;200;True;
48;scraping restaurants;requests;1566989618.316782;-1.4557390213012695;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or480-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or480-Mother-Copenhagen_Zealand.html;1291144;200;True;
49;scraping restaurants;requests;1566989621.281908;-1.44303297996521;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or490-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or490-Mother-Copenhagen_Zealand.html;1291560;200;True;
50;scraping restaurants;requests;1566989624.232383;-1.6723179817199707;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or500-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or500-Mother-Copenhagen_Zealand.html;1294179;200;True;
51;scraping restaurants;requests;1566989627.4092731;-1.4311580657958984;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or510-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or510-Mother-Copenhagen_Zealand.html;1293514;200;True;
52;scraping restaurants;requests;1566989630.34755;-2.326428174972534;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or520-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or520-Mother-Copenhagen_Zealand.html;1290733;200;True;
53;scraping restaurants;requests;1566989634.184768;-1.4591648578643799;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or530-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or530-Mother-Copenhagen_Zealand.html;1293120;200;True;
54;scraping restaurants;requests;1566989637.154547;-1.3820970058441162;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or540-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or540-Mother-Copenhagen_Zealand.html;1293267;200;True;
55;scraping restaurants;requests;1566989640.047165;-1.4353599548339844;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or550-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or550-Mother-Copenhagen_Zealand.html;1294155;200;True;
56;scraping restaurants;requests;1566989642.990788;-1.3927929401397705;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or560-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or560-Mother-Copenhagen_Zealand.html;1293712;200;True;
57;scraping restaurants;requests;1566989645.8925261;-1.3901939392089844;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or570-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or570-Mother-Copenhagen_Zealand.html;1295697;200;True;
58;scraping restaurants;requests;1566989648.791021;-1.4972798824310303;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or580-Mother-Copenhagen_Zealand.html;https://www.tripadvisor.com/Restaurant_Review-g189541-d1898372-Reviews-or580-Mother-Copenhagen_Zealand.html;1294411;200;True;
