,Unnamed: 0,name,bubble,review
1391,27,Tit Is,5 ud af 5 bobler,1 anmeldelse
1392,28,Front bistro & bar,"3,5 ud af 5 bobler",4 anmeldelser
1393,29,Enigma Kantina,4 ud af 5 bobler,3 anmeldelser
1394,30,Tapas G.,3 ud af 5 bobler,95 anmeldelser
1396,1,Underwood Ink,5 ud af 5 bobler,2 anmeldelser
1397,2,Street Polenta,5 ud af 5 bobler,1 anmeldelse
1398,3,Mae Pen,"3,5 ud af 5 bobler",9 anmeldelser
1399,4,Bentzons Pizzaria,5 ud af 5 bobler,1 anmeldelse
1400,5,The Rusty Jiggar,5 ud af 5 bobler,1 anmeldelse
1401,6,Hugo's Pizzaria,4 ud af 5 bobler,2 anmeldelser
1402,7,Café Nöah,3 ud af 5 bobler,21 anmeldelser
1403,8,CC Restaurant Sushi & Wok,5 ud af 5 bobler,1 anmeldelse
1405,10,Veneto Pizza,5 ud af 5 bobler,1 anmeldelse
1406,11,Havnegade Fiskehandel,4 ud af 5 bobler,2 anmeldelser
1407,12,Café A,"3,5 ud af 5 bobler",4 anmeldelser
1408,13,Kantina,4 ud af 5 bobler,2 anmeldelser
1409,14,Dhaba Indian Street Food,"3,5 ud af 5 bobler",17 anmeldelser
1410,15,Gastronomia Italiana,5 ud af 5 bobler,1 anmeldelse
1411,16,Passion Pizza,4 ud af 5 bobler,2 anmeldelser
1412,17,Egils Deli,"3,5 ud af 5 bobler",7 anmeldelser
1413,18,Lins Sushi,5 ud af 5 bobler,1 anmeldelse
1415,20,The Bagel CO,5 ud af 5 bobler,1 anmeldelse
1416,21,Cafe Midtown Bar,4 ud af 5 bobler,2 anmeldelser
1417,22,Coffee Licious,5 ud af 5 bobler,1 anmeldelse
1418,23,Piccola Cosi,5 ud af 5 bobler,1 anmeldelse
1419,24,1408,"3,5 ud af 5 bobler",6 anmeldelser
1420,25,Café Ocean,5 ud af 5 bobler,1 anmeldelse
1421,26,Tuttitalia Trattoria Pizzeria,5 ud af 5 bobler,1 anmeldelse
1422,27,Nye Tider,5 ud af 5 bobler,1 anmeldelse
1423,28,Cafe Tænk,"3,5 ud af 5 bobler",8 anmeldelser
1424,29,Ciderbar,5 ud af 5 bobler,1 anmeldelse
1425,30,CCR Sunde Køkken,5 ud af 5 bobler,1 anmeldelse
1427,1,Tacopop,"3,5 ud af 5 bobler",15 anmeldelser
1428,2,Pizza Gallery Ravnsborggade,5 ud af 5 bobler,1 anmeldelse
1429,3,India,5 ud af 5 bobler,1 anmeldelse
1431,5,Louise,"3,5 ud af 5 bobler",6 anmeldelser
1432,6,Hermes Antik & Kaffebar,5 ud af 5 bobler,1 anmeldelse
1433,7,H Kitchen,"3,5 ud af 5 bobler",9 anmeldelser
1434,8,Grand Cafe Field's,"3,5 ud af 5 bobler",12 anmeldelser
1435,9,Cock's & Cows Prags Blvd,3 ud af 5 bobler,24 anmeldelser
1436,10,Prætoria Bar,5 ud af 5 bobler,1 anmeldelse
1437,11,Madonna Burgerbar,"3,5 ud af 5 bobler",3 anmeldelser
1438,12,CPH Burger & Steakhouse,"3,5 ud af 5 bobler",4 anmeldelser
1439,13,Th. Soerensen,"3,5 ud af 5 bobler",17 anmeldelser
1440,14,Cafe T,4 ud af 5 bobler,2 anmeldelser
1442,16,The Bagel Co,"3,5 ud af 5 bobler",4 anmeldelser
1443,17,Marrakesh Kitchen,"4,5 ud af 5 bobler",2 anmeldelser
1444,18,Send flere krydderier,"3,5 ud af 5 bobler",6 anmeldelser
1445,19,The Set,5 ud af 5 bobler,1 anmeldelse
1446,20,Kinesiske Mur,"3,5 ud af 5 bobler",46 anmeldelser
1447,21,BarPasta,"3,5 ud af 5 bobler",3 anmeldelser
1448,22,Mon Amour Pâtissier - Glacier,"3,5 ud af 5 bobler",3 anmeldelser
1449,23,Biblioteket Danasvej,5 ud af 5 bobler,1 anmeldelse
1450,24,Piccolino Pizzeria & Sandwichbar,4 ud af 5 bobler,2 anmeldelser
1451,25,Pizzeria Pepe,5 ud af 5 bobler,1 anmeldelse
1452,26,Figaro,"3,5 ud af 5 bobler",5 anmeldelser
1453,27,Axolotl,5 ud af 5 bobler,1 anmeldelse
1454,28,Cafe Dubai,"3,5 ud af 5 bobler",3 anmeldelser
1455,29,K15,"3,5 ud af 5 bobler",6 anmeldelser
1456,30,La focaccia,3 ud af 5 bobler,9 anmeldelser
1458,1,Yolkie Egg Joint,"3,5 ud af 5 bobler",5 anmeldelser
1459,2,Sultan Palace,3 ud af 5 bobler,77 anmeldelser
1460,3,El Guanche,"3,5 ud af 5 bobler",4 anmeldelser
1461,4,Cafe Hyggestuen,4 ud af 5 bobler,3 anmeldelser
1462,5,New Tokyo Sushi,5 ud af 5 bobler,1 anmeldelse
1463,6,Guldkroen 11,3 ud af 5 bobler,56 anmeldelser
1464,7,Cheesecake Huset,"3,5 ud af 5 bobler",8 anmeldelser
1465,8,Wabiwabi Sushi & More,3 ud af 5 bobler,52 anmeldelser
1466,9,Dragon Grill Express,"3,5 ud af 5 bobler",11 anmeldelser
1467,10,Bedste kaffebar i kbh,5 ud af 5 bobler,1 anmeldelse
